dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,classifier_augmented_best_acc,classifier_augmented_best_f1,execution_time
ShakeGestureWiimoteZ,10,50,50,0.09999999403953552,0.01818181818181818,0.1,0.018181818181818184,0.1,0.018181818181818184,20.010571002960205
ShapeletSim,2,20,180,0.5222222208976746,0.5219861660079052,1.0,1.0,1.0,1.0,13.155082941055298
ShapesAll,60,600,600,0.5383333563804626,0.5346663941522715,0.73,0.7140660551057334,0.6466666666666666,0.6168062728247666,620.5933063030243
SmallKitchenAppliances,3,375,375,0.5519999861717224,0.5407316113178601,0.712,0.714250061876083,0.6986666666666667,0.6998350642173715,127.82203722000122
SmoothSubspace,3,150,150,0.9266666769981384,0.926559829059829,1.0,1.0,0.98,0.9799819837854068,38.206199407577515
SonyAIBORobotSurface1,2,20,601,0.8336106538772583,0.8336101882613511,0.9284525790349417,0.9284695494379153,0.9550748752079867,0.9551776766742336,20.440613746643066
SonyAIBORobotSurface2,2,27,953,0.8530954122543335,0.846397914824639,0.8740818467995802,0.8749189301409857,0.8614900314795383,0.8620800929258828,32.078171730041504
StarLightCurves,3,1000,8236,0.9437833428382874,0.9174046985257619,0.9519184069936862,0.9511350635661922,0.9412336085478388,0.9400625534360353,47898.286012887955
Strawberry,2,613,370,0.9756757020950317,0.973545183714002,0.9702702702702702,0.9701925091169926,0.9567567567567568,0.9568962334456895,108.74697208404541
SwedishLeaf,15,500,625,0.8431999683380127,0.8423115413245931,0.9376,0.9375424976679196,0.8736,0.8718715864048001,125.15743660926819
Symbols,6,25,995,0.8783919215202332,0.8770060494445042,0.8442211055276382,0.8424732101962288,0.8753768844221106,0.8756484439964629,82.40908002853394
SyntheticControl,6,300,300,0.9700000286102295,0.9699272844451311,0.9866666666666667,0.9866573251927,0.9833333333333333,0.9833924149300208,47.66478395462036
ToeSegmentation1,2,40,228,0.6710526347160339,0.6640141467727675,0.9078947368421053,0.9078716283132805,0.8421052631578947,0.841430761369443,35.00067758560181
