dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,vae_augmented_step_0_best_acc,vae_augmented_step_0_best_f1,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,vae_augmented_step_1_best_acc,vae_augmented_step_1_best_f1,classifier_augmented_step_1_best_acc,classifier_augmented_step_1_best_f1,vae_augmented_step_2_best_acc,vae_augmented_step_2_best_f1,classifier_augmented_step_2_best_acc,classifier_augmented_step_2_best_f1,vae_augmented_step_3_best_acc,vae_augmented_step_3_best_f1,classifier_augmented_step_3_best_acc,classifier_augmented_step_3_best_f1,vae_augmented_step_4_best_acc,vae_augmented_step_4_best_f1,classifier_augmented_step_4_best_acc,classifier_augmented_step_4_best_f1,vae_augmented_step_5_best_acc,vae_augmented_step_5_best_f1,classifier_augmented_step_5_best_acc,classifier_augmented_step_5_best_f1,execution_time
HouseTwenty,2,40,119,0.7899159789085388,0.7877577227652137,0.957983193277311,0.9577804361490154,0.7815126180648804,0.7779850746268657,0.9663865546218487,0.9662836563196706,0.7647058963775635,0.7645562464669304,0.957983193277311,0.9579221267752795,0.756302535533905,0.7459698196540302,0.9663865546218487,0.9662836563196706,0.7647058963775635,0.7571428571428571,0.957983193277311,0.9579221267752795,0.7478991746902466,0.7295454545454545,0.9327731092436975,0.9320281304010966,0.756302535533905,0.7505962275059623,0.9243697478991597,0.9233490058982435,164.00590133666992
Herring,2,64,64,0.71875,0.7046153846153846,0.609375,0.6104559748427673,0.75,0.7374358974358974,0.625,0.5092857142857142,0.6875,0.6363636363636364,0.640625,0.5578026272031925,0.734375,0.722943722943723,0.640625,0.5578026272031925,0.703125,0.6590972806279787,0.65625,0.5981695869837297,0.71875,0.6883116883116883,0.640625,0.5578026272031925,0.6875,0.6717948717948719,0.65625,0.5981695869837297,201.43841123580933
InsectEPGSmallTrain,3,17,249,0.9999999403953552,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,37.96449899673462
InsectEPGRegularTrain,3,62,249,0.9999999403953552,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,0.6425702571868896,0.5753846153846154,1.0,1.0,0.6425702571868896,0.5753846153846154,1.0,1.0,142.86130619049072
InsectWingbeatSound,11,220,1980,0.6085858941078186,0.603767743444995,0.49696969696969695,0.4877448727526568,0.6085858941078186,0.6003721656849856,0.4888888888888889,0.47675489284917183,0.6141414642333984,0.6140834444974287,0.49696969696969695,0.48732390736972087,0.6202020645141602,0.6147664737401461,0.49646464646464644,0.4763209177768094,0.599494993686676,0.6006784091244556,0.48737373737373735,0.47664063649102006,0.6015151739120483,0.5983702627326112,0.49444444444444446,0.4797005642225495,0.6030303239822388,0.600059902422903,0.4823232323232323,0.4642876867467257,537.4217495918274
InlineSkate,7,100,550,0.2963636517524719,0.2921276440669465,0.3981818181818182,0.3919553804398511,0.2890909016132355,0.28739750049898305,0.38181818181818183,0.3714466251480816,0.2709091007709503,0.24819556317392566,0.3563636363636364,0.31805437407652953,0.290909081697464,0.28239842367959994,0.33636363636363636,0.3258235349212633,0.2963636517524719,0.29549763678277635,0.35454545454545455,0.32617331984446113,0.2890909016132355,0.28462757648106973,0.33090909090909093,0.32713666398745006,0.2890909016132355,0.2762642374005428,0.3472727272727273,0.3317265254701062,478.9172885417938
ItalyPowerDemand,2,67,1029,0.9708454608917236,0.9708454535151676,0.966958211856171,0.966958211856171,0.9718173146247864,0.9718120805369128,0.9611273080660836,0.9611253254398373,0.9708454608917236,0.9708447926740813,0.9698736637512148,0.9698716719103987,0.966958224773407,0.9669574316972921,0.9718172983479106,0.9718171918800745,0.967930018901825,0.967920212901635,0.9650145772594753,0.9650102812122044,0.9601554870605469,0.9601554907677357,0.9630709426627794,0.9630690591678455,0.9689018726348877,0.9689011121856866,0.9708454810495627,0.9708453709119821,213.9787039756775
LargeKitchenAppliances,3,375,375,0.4399999976158142,0.414594170223717,0.8613333333333333,0.8611975184835388,0.47999998927116394,0.44607251879979143,0.824,0.8220522757433223,0.5013333559036255,0.5007936507936508,0.8293333333333334,0.8290137920304155,0.4906666576862335,0.47584239626218633,0.7733333333333333,0.7739245693585881,0.4266666769981384,0.412639312520139,0.7466666666666667,0.7472954926371075,0.46933332085609436,0.469642766267937,0.7413333333333333,0.7422178780223992,0.47999998927116394,0.47463965700076,0.7093333333333334,0.7122962095511539,1629.0385065078735
Lightning7,7,70,73,0.7397260069847107,0.7080627643033657,0.726027397260274,0.7137679324406923,0.7123287916183472,0.7100606324401105,0.7534246575342466,0.7586989112306279,0.698630154132843,0.6865847013569261,0.6986301369863014,0.6965560915551554,0.7397260069847107,0.7186048359499227,0.7808219178082192,0.7837205286702129,0.6712328791618347,0.655534941249227,0.726027397260274,0.7102919678263949,0.6712328791618347,0.6586472938875685,0.7671232876712328,0.7660634812213133,0.6849315166473389,0.6788988718016852,0.7534246575342466,0.7465289645813213,207.82980346679688
Lightning2,2,60,61,0.7704917788505554,0.7458333333333333,0.7704918032786885,0.7696167720275724,0.7704917788505554,0.7511655011655012,0.7868852459016393,0.785486625694267,0.7704917788505554,0.7595720720720721,0.8360655737704918,0.8344442442803099,0.7540982961654663,0.7441990494828068,0.819672131147541,0.8184886832797643,0.7540982961654663,0.7404255319148936,0.7868852459016393,0.7839424848674174,0.7540982961654663,0.7359307359307359,0.7868852459016393,0.785486625694267,0.7540982961654663,0.7306446864880778,0.7868852459016393,0.785486625694267,181.9255223274231
