dataset,num_classes,num_train_samples,num_test_samples,baseline_best_acc,baseline_best_f1,baseline_final_acc,baseline_final_f1,augmented_train_samples,augmented_best_acc,augmented_best_f1,augmented_final_acc,augmented_final_f1
Beef,5,30,30,0.9,0.8995337995337994,0.7666666666666667,0.7696570096570097,48,0.9333333333333333,0.9328671328671329,0.9333333333333333,0.9328671328671329
Beef,5,30,30,0.9,0.8978621378621379,0.7666666666666667,0.7672327672327672,53,0.9333333333333333,0.9328671328671329,0.8333333333333334,0.8268065268065268
BirdChicken,2,20,20,1.0,1.0,0.9,0.898989898989899,40,1.0,1.0,0.95,0.949874686716792
BirdChicken,2,20,20,1.0,1.0,0.9,0.898989898989899,40,1.0,1.0,0.85,0.849624060150376
BirdChicken,2,20,20,1.0,1.0,0.95,0.949874686716792,40,1.0,1.0,0.95,0.949874686716792
BirdChicken,2,20,20,1.0,1.0,0.95,0.949874686716792,40,1.0,1.0,1.0,1.0
BirdChicken,2,20,20,1.0,1.0,1.0,1.0,40,1.0,1.0,0.85,0.849624060150376
BirdChicken,2,20,20,1.0,1.0,0.95,0.949874686716792,40,1.0,1.0,0.95,0.949874686716792
BirdChicken,2,20,20,1.0,1.0,0.95,0.949874686716792,40,1.0,1.0,0.8,0.7916666666666667
BirdChicken,2,20,20,1.0,1.0,1.0,1.0,40,1.0,1.0,0.95,0.949874686716792
BirdChicken,2,20,20,1.0,1.0,0.9,0.898989898989899,40,1.0,1.0,0.85,0.849624060150376
BirdChicken,2,20,20,1.0,1.0,1.0,1.0,40,1.0,1.0,0.9,0.898989898989899
BME,3,30,150,1.0,1.0,0.9933333333333333,0.9933326665999933,59,1.0,1.0,0.9933333333333333,0.9933326665999933
BME,3,30,150,1.0,1.0,1.0,1.0,58,1.0,1.0,0.9933333333333333,0.9933326665999933
BME,3,30,150,1.0,1.0,1.0,1.0,59,1.0,1.0,0.9733333333333334,0.9733184961916446
BME,3,30,150,1.0,1.0,1.0,1.0,57,1.0,1.0,0.9933333333333333,0.9933326665999933
BME,3,30,150,1.0,1.0,0.9933333333333333,0.9933326665999933,57,1.0,1.0,0.9933333333333333,0.9933326665999933
BME,3,30,150,1.0,1.0,1.0,1.0,58,1.0,1.0,1.0,1.0
BME,3,30,150,1.0,1.0,0.9933333333333333,0.9933326665999933,58,1.0,1.0,0.9933333333333333,0.9933326665999933
BME,3,30,150,1.0,1.0,0.4533333333333333,0.3862153172498,58,1.0,1.0,0.9933333333333333,0.9933326665999933
BME,3,30,150,1.0,1.0,0.9933333333333333,0.9933326665999933,57,1.0,1.0,0.98,0.9799819837854068
BME,3,30,150,1.0,1.0,0.9933333333333333,0.9933326665999933,58,1.0,1.0,1.0,1.0
CBF,3,30,900,0.9988888888888889,0.9988888796908224,0.9633333333333334,0.9632649214022926,60,0.9788888888888889,0.9787306544364578,0.9177777777777778,0.918017374129791
CBF,3,30,900,1.0,1.0,0.99,0.9899906012058735,60,0.9888888888888889,0.988861245751481,0.9533333333333334,0.9532257703412436
CBF,3,30,900,1.0,1.0,0.9955555555555555,0.9955552611954944,60,0.9911111111111112,0.9910979495215252,0.92,0.9187750726882916
CBF,3,30,900,1.0,1.0,0.9922222222222222,0.9922222436839037,60,0.99,0.9899721275138847,0.9077777777777778,0.9060504508467343
CBF,3,30,900,0.9988888888888889,0.9988888919548434,0.9933333333333333,0.9933324501849092,60,0.9944444444444445,0.9944369566737532,0.9311111111111111,0.9309507964304206
CBF,3,30,900,0.9988888888888889,0.9988888796908224,0.9966666666666667,0.9966666390724671,60,0.9888888888888889,0.9888604731664279,0.9311111111111111,0.9304620662515009
CBF,3,30,900,0.9988888888888889,0.998888891995997,0.9822222222222222,0.9822080817007905,60,0.99,0.9899832216172685,0.9233333333333333,0.9232075341766278
CBF,3,30,900,1.0,1.0,0.9955555555555555,0.9955555555555555,60,0.9933333333333333,0.993329657315507,0.9555555555555556,0.9555094858751638
CBF,3,30,900,0.9988888888888889,0.9988888796908224,0.9933333333333333,0.9933333333333333,60,0.9866666666666667,0.9866850739460559,0.9611111111111111,0.9609976052863753
CBF,3,30,900,1.0,1.0,0.9922222222222222,0.9922221578371776,60,0.9911111111111112,0.9910920821859157,0.9477777777777778,0.9471067196726719
Car,4,60,60,0.9666666666666667,0.966111111111111,0.9,0.900764829870521,101,0.9666666666666667,0.9666453810131972,0.8333333333333334,0.8353846153846154
Car,4,60,60,0.9666666666666667,0.966111111111111,0.9,0.8999623607347186,103,0.95,0.9505772439105773,0.8833333333333333,0.8831913580246913
Car,4,60,60,0.9833333333333333,0.9832136752136752,0.9,0.900764829870521,103,0.95,0.9501317374284853,0.75,0.7378360215053764
Car,4,60,60,0.9666666666666667,0.966111111111111,0.8833333333333333,0.8843464153808983,104,0.9666666666666667,0.9663888888888887,0.8333333333333334,0.8275613275613275
Car,4,60,60,0.9666666666666667,0.966111111111111,0.9166666666666666,0.916358024691358,102,0.9333333333333333,0.9320761818729298,0.85,0.8452515226708776
Car,4,60,60,0.9666666666666667,0.9666206896551726,0.8833333333333333,0.8868660968660969,100,0.95,0.9492873563218391,0.8666666666666667,0.8576971326164874
Car,4,60,60,0.9833333333333333,0.9832873563218392,0.9333333333333333,0.9320761818729298,109,0.95,0.947859820089955,0.8666666666666667,0.8658423667570009
Car,4,60,60,0.9666666666666667,0.966111111111111,0.8,0.807287356321839,98,0.9333333333333333,0.9293893518872494,0.85,0.8506529080675421
Car,4,60,60,0.9833333333333333,0.9832136752136752,0.9333333333333333,0.9319017320607988,104,0.9333333333333333,0.9333333333333333,0.85,0.8510582010582011
Car,4,60,60,0.9666666666666667,0.966111111111111,0.65,0.633834817892789,104,0.9333333333333333,0.9304473304473305,0.8666666666666667,0.8611537121881949
ChlorineConcentration,3,467,3840,0.85859375,0.8563430890047339,0.8315104166666667,0.8311611670209181,649,0.8393229166666667,0.8373220155733012,0.7731770833333333,0.7566005961502745
ChlorineConcentration,3,467,3840,0.8544270833333333,0.8487918771303993,0.8356770833333333,0.831801319270985,657,0.84140625,0.8375523424114678,0.8203125,0.8118068356648291
ChlorineConcentration,3,467,3840,0.85703125,0.8520392534820196,0.8341145833333333,0.8282751978618302,638,0.8479166666666667,0.8450314762250676,0.82109375,0.8173899927499534
ChlorineConcentration,3,467,3840,0.8544270833333333,0.8520583992377555,0.8309895833333333,0.827076806155425,667,0.83203125,0.8298575570660176,0.8177083333333334,0.8143630997667785
ChlorineConcentration,3,467,3840,0.8455729166666667,0.8424816930929783,0.8153645833333333,0.8127253267511674,649,0.8502604166666666,0.8480412751099079,0.7692708333333333,0.7740318394720589
ChlorineConcentration,3,467,3840,0.85703125,0.8545569392589489,0.8416666666666667,0.8411504673591137,645,0.8401041666666667,0.8374951709715339,0.8015625,0.8013674811691593
ChlorineConcentration,3,467,3840,0.8481770833333333,0.8437939341076179,0.8317708333333333,0.8255921472674645,648,0.8463541666666666,0.8380442111468824,0.81484375,0.8105614321393185
ChlorineConcentration,3,467,3840,0.86015625,0.8571582838686458,0.8510416666666667,0.8479078501519666,632,0.8408854166666667,0.8357059558812191,0.815625,0.8101035955175938
ChlorineConcentration,3,467,3840,0.8544270833333333,0.8507452616838727,0.821875,0.815441999143349,650,0.8505208333333333,0.8472972013961413,0.82890625,0.8260625530957688
ChlorineConcentration,3,467,3840,0.8630208333333333,0.8601979952248329,0.8330729166666667,0.8318155285586374,649,0.83125,0.8270777600411419,0.8213541666666667,0.8183416175601761
