dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,vae_augmented_best_acc,vae_augmented_best_f1,vae_augmented_augmented_best_acc,vae_augmented_augmented_best_f1,vae_augmented_augmented_augmented_best_acc,vae_augmented_augmented_augmented_best_f1,classifier_best_acc,classifier_best_f1,classifier_augmented_best_acc,classifier_augmented_best_f1,classifier_augmented_augmented_best_acc,classifier_augmented_augmented_best_f1,classifier_augmented_augmented_augmented_best_acc,classifier_augmented_augmented_augmented_best_f1
MoteStrain,2,20,1252,0.8722044728434505,0.8722044728434505,0.8690095846645367,0.8685725575694837,0.8777955271565495,0.8777877604366988,0.8849840255591054,0.8846002944512541,0.9097444089456869,0.9098771935115252,0.8793929712460063,0.8788614820366744,0.8889776357827476,0.889113850126514,0.8801916932907349,0.8799428336729517
NonInvasiveFetalECGThorax1,42,1800,1965,0.8895674300254452,0.8891494634447527,0.8931297709923665,0.8941339899549383,0.8809160305343512,0.8799630867143862,0.8702290076335878,0.8698183975637915,0.8987277353689568,0.8979640039822724,0.8447837150127226,0.8452315940363444,0.8269720101781171,0.8251692592023969,0.8274809160305343,0.8265960099351911
NonInvasiveFetalECGThorax2,42,1800,1965,0.9414758269720102,0.942331726112919,0.9180661577608142,0.9181024376273543,0.9139949109414758,0.9142768430843375,0.8473282442748091,0.8449414011250259,0.9114503816793893,0.9110295240125398,0.8865139949109415,0.8861397551745673,0.8727735368956743,0.8722896775631823,0.8534351145038168,0.8508668784999678
OliveOil,4,30,30,0.9,0.8917660818713451,0.9333333333333333,0.9318295739348371,0.9333333333333333,0.9318295739348371,0.9333333333333333,0.9318295739348371,0.8333333333333334,0.8105006105006105,0.9333333333333333,0.9244040404040403,0.9,0.8922222222222221,0.9333333333333333,0.9326200877688291
OSULeaf,6,200,242,0.5785123966942148,0.5687617414796595,0.5867768595041323,0.5785361355076097,0.5909090909090909,0.5847517109549195,0.5785123966942148,0.5706815485564867,0.756198347107438,0.7486579820613543,0.7520661157024794,0.7547001436589802,0.7479338842975206,0.7486642214235298,0.756198347107438,0.7458232552542977
PhalangesOutlinesCorrect,2,1800,858,0.8321678321678322,0.8280291751259494,0.837995337995338,0.8358363845747896,0.8426573426573427,0.8400290209331285,0.8344988344988346,0.8316616716616716,0.8298368298368298,0.8274994236532699,0.8251748251748252,0.8212079620793709,0.8251748251748252,0.824976160203433,0.8181818181818182,0.8166696715733885
PigAirwayPressure,52,104,208,0.12980769230769232,0.1234614210575749,0.1201923076923077,0.11517094017094018,0.1201923076923077,0.11283855033855034,0.12980769230769232,0.12119817317185741,0.28846153846153844,0.21338672953491958,0.24519230769230768,0.20014525510476927,0.3076923076923077,0.256915200184431,0.34615384615384615,0.2992884252499637
PigArtPressure,52,104,208,0.22596153846153846,0.2037466806697576,0.20192307692307693,0.18096017230632616,0.21634615384615385,0.18994659186966878,0.22596153846153846,0.20684192943808327,0.8028846153846154,0.7683625135548211,0.7451923076923077,0.6910311910311908,0.6298076923076923,0.5795399045399046,0.5817307692307693,0.5474636474636475
PigCVP,52,104,208,0.14423076923076922,0.12617626132302245,0.14423076923076922,0.13867190501805884,0.11057692307692307,0.09676770878693956,0.11057692307692307,0.09219461094461094,0.2644230769230769,0.2021558381286888,0.23076923076923078,0.18723429348429346,0.16826923076923078,0.11389673128803562,0.16346153846153846,0.1180610840827559
Plane,7,105,105,0.9904761904761905,0.9904761904761905,0.9809523809523809,0.9809126984126985,0.9904761904761905,0.9904761904761905,0.9904761904761905,0.9904562870080112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
